category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
Poetry,Publishing,failed,0,GB,0,1533.95,58
Narrative Film,Film & Video,failed,15,US,2421,30000,59
Narrative Film,Film & Video,failed,3,US,220,45000,44
Music,Music,failed,1,US,1,5000,29
Film & Video,Film & Video,canceled,14,US,1283,19500,55
Restaurants,Food,successful,224,US,52375,50000,34
Food,Food,successful,16,US,1205,1000,19
Drinks,Food,failed,40,US,453,25000,44
Product Design,Design,canceled,58,US,8233,125000,34
Documentary,Film & Video,canceled,43,US,6240.57,65000,29
Nonfiction,Publishing,failed,0,CA,0,2406.39,29
Indie Rock,Music,successful,100,US,12700,12500,29
Crafts,Crafts,failed,0,US,0,5000,29
Games,Games,failed,0,US,0,200000,44
Tabletop Games,Games,successful,761,GB,121857.33,6469.73,27
Design,Design,failed,11,US,664,2500,29
Comic Books,Comics,failed,16,US,395,1500,29
Art Books,Publishing,failed,20,US,789,3000,29
Music,Music,successful,7,US,250,250,14
Food,Food,failed,40,US,1781,5000,29
Fashion,Fashion,successful,624,US,34268,20000,34
Childrenswear,Fashion,failed,1,AU,0.81,2026.1,29
Theater,Theater,failed,12,US,650,3500,29
Drinks,Food,failed,3,NO,6.29,65.55,29
Comics,Comics,successful,66,US,701.66,175,19
Music,Music,successful,147,US,15827,10000,29
DIY,Crafts,failed,0,GB,0,17489.65,29
Webseries,Film & Video,successful,571,CA,42174.03,15313.04,29
Comics,Comics,successful,27,GB,160.6,142.91,29
Animation,Film & Video,successful,840,US,57577.31,50000,29
Food Trucks,Food,failed,1,GB,31.09,5181.12,29
Product Design,Design,successful,549,US,47266,1000,30
Product Design,Design,successful,18,AU,1427.35,1427.35,29
Public Art,Art,failed,30,US,1395,25000,39
Music,Music,successful,92,US,13260,12000,29
Webseries,Film & Video,failed,54,US,1373.37,10000,29
Indie Rock,Music,successful,157,US,8641.34,4000,29
Documentary,Film & Video,successful,213,US,15663,10000,29
Illustration,Art,failed,2,US,17,3000,34
Indie Rock,Music,successful,277,US,17499.99,15000,29
Nonfiction,Publishing,live,24,CA,472.88,2396.36,59
Music,Music,successful,34,US,2100,2100,10
Photography,Photography,successful,232,US,23907,15000,29
Tabletop Games,Games,failed,25,US,856,1500,24
Pop,Music,successful,181,US,12656,10000,47
Documentary,Film & Video,failed,0,US,0,2500,34
Restaurants,Food,successful,855,US,63401,40000,29
Narrative Film,Film & Video,successful,154,US,9401,8000,29
Tabletop Games,Games,successful,218,US,8105,3000,29
Public Art,Art,failed,4,US,90,1200,40
Narrative Film,Film & Video,successful,632,US,61365.16,60000,24
People,Photography,failed,2,US,6,9500,34
Art,Art,failed,3,US,3,7500,29
Photography,Photography,successful,71,US,4866.17,4000,24
Family,Film & Video,successful,51,US,11055,11000,29
Food Trucks,Food,failed,1,US,1,13750,28
Fiction,Publishing,failed,0,US,0,13500,29
Film & Video,Film & Video,successful,121,US,9660,9500,41
Webseries,Film & Video,failed,5,US,635,60000,29
Tabletop Games,Games,successful,448,US,37199,25000,29
Documentary,Film & Video,failed,2,US,65,250000,59
Accessories,Fashion,failed,2,IT,150.73,13202.34,29
Art,Art,failed,8,US,587,5000,29
Drinks,Food,successful,2784,US,124998,15000,44
Rock,Music,failed,13,US,485,850,44
Hardware,Technology,failed,0,CA,0,39739.31,29
Theater,Theater,successful,144,US,15425,15000,59
Software,Technology,failed,0,GB,0,2579.35,29
Design,Design,canceled,6,CA,535.09,11466.14,29
Weaving,Crafts,failed,1,GB,3.09,7716.41,29
Gadgets,Technology,canceled,15,US,2030,87000,24
Web,Technology,failed,3,US,141,100000,29
Jazz,Music,successful,95,US,4795,4000,29
Tabletop Games,Games,canceled,65,US,2453,13000,30
Food,Food,canceled,0,US,0,25000,34
Product Design,Design,failed,6,GB,288.03,660.62,42
Ready-to-wear,Fashion,failed,0,US,0,68000,29
Festivals,Theater,successful,164,US,8157.01,7500,24
Film & Video,Film & Video,failed,76,US,10410,29700,28
Video Games,Games,failed,38,US,1410,50000,59
Fashion,Fashion,failed,9,GB,93.44,3063.58,52
Tabletop Games,Games,failed,34,US,1811,13000,29
Documentary,Film & Video,successful,29,US,4045,4000,33
Rock,Music,successful,31,US,1540,500,21
Fashion,Fashion,successful,36,US,754.82,500,16
Anthologies,Comics,successful,153,CA,4646.65,3759.05,29
Publishing,Publishing,failed,9,DE,97.62,11092.99,59
Theater,Theater,failed,2,US,110,5000,59
Drinks,Food,failed,18,US,1027,3000,29
Music,Music,failed,10,US,409,4500,43
Tabletop Games,Games,successful,346,IT,13347.43,5938.52,29
Comics,Comics,failed,14,US,474,4289,44
Theater,Theater,successful,40,US,2075,2000,44
Rock,Music,canceled,4,US,151,15000,59
Indie Rock,Music,successful,113,US,10414,10000,45
Film & Video,Film & Video,successful,29,US,1932.99,1500,29
Shorts,Film & Video,successful,52,US,3755,3000,39
Webseries,Film & Video,successful,45,US,2252.99,2000,24
Gadgets,Technology,failed,3,CA,2.36,19632.48,29
Restaurants,Food,failed,0,US,0,5000,59
Webseries,Film & Video,successful,8,US,756,500,30
Electronic Music,Music,successful,14,US,274.05,200,14
Radio & Podcasts,Publishing,successful,19,US,1055,1000,29
Product Design,Design,failed,4,US,156,500,29
Apps,Technology,canceled,19,CA,9110.34,40183.24,31
Cookbooks,Food,successful,1261,US,47273,20000,33
Shorts,Film & Video,failed,2,US,22,1800,34
Webseries,Film & Video,failed,3,US,50,5000,65
Fashion,Fashion,successful,131,US,5858,5400,48
Apparel,Fashion,successful,25,US,1805,1750,44
Indie Rock,Music,successful,41,US,1455,1000,40
Tabletop Games,Games,successful,491,US,20269,19500,35
Gadgets,Technology,failed,6,US,74,500,34
Food,Food,failed,0,US,0,100,29
Pop,Music,failed,1,US,10,10000,29
Metal,Music,failed,13,US,472,1000,24
Art,Art,successful,121,US,8360,8000,29
Comedy,Film & Video,failed,3,US,40,50000,29
Hip-Hop,Music,failed,2,US,10,6325,59
Documentary,Film & Video,failed,4,US,270,20000,29
Periodicals,Publishing,failed,0,US,0,25000,60
Product Design,Design,failed,67,US,3012,125000,34
Dance,Dance,failed,0,US,0,3400,59
Tabletop Games,Games,successful,624,US,14794,2000,37
Food Trucks,Food,failed,0,US,0,20000,28
Photography,Photography,failed,11,US,568,3200,29
Video Games,Games,successful,36,US,306.72,200,29
Technology,Technology,failed,120,US,90771,250000,29
Public Art,Art,failed,0,US,0,650,19
Film & Video,Film & Video,failed,1,GB,7.4,740.16,29
Painting,Art,successful,20,US,1062.57,800,29
Documentary,Film & Video,successful,47,GB,8447.09,8385.04,36
Indie Rock,Music,failed,44,US,4006,10000,29
Software,Technology,failed,12,IE,322.02,4567.62,29
Art Books,Publishing,successful,49,US,2535,1400,29
Web,Technology,failed,1,US,25,15000,17
Games,Games,failed,3,US,65,25000,32
World Music,Music,failed,8,US,260,3000,44
Publishing,Publishing,successful,33,US,3165,3000,44
Illustration,Art,successful,53,US,2354.5,650,30
Photobooks,Photography,failed,3,US,95,1000,29
Drama,Film & Video,successful,15,GB,1122.89,1113.98,13
Art,Art,successful,19,GB,2331.32,2307.48,29
Architecture,Design,failed,0,GB,0,803.32,29
Apparel,Fashion,failed,1,US,25,2500,29
Hardware,Technology,failed,2,US,20,6000,39
Tabletop Games,Games,failed,14,US,875,1000,4
Young Adult,Publishing,failed,1,GB,1.43,14287.14,29
Hip-Hop,Music,failed,0,GB,0,917.77,44
Latin,Music,failed,1,MX,0.53,955.82,44
Games,Games,failed,89,US,3100.66,12000,29
Mobile Games,Games,failed,5,GB,485.72,3191.15,29
Flight,Technology,failed,4,US,1355,8500,44
Theater,Theater,successful,67,US,8315,7500,34
Hardware,Technology,successful,561,US,268192,250000,40
Fine Art,Photography,failed,1,GB,16.58,829.12,29
Film & Video,Film & Video,failed,90,GB,8854.28,96821.04,36
Action,Film & Video,failed,2,ES,22.85,114.27,59
Art Books,Publishing,successful,78,US,2883.5,1000,19
Video Games,Games,failed,260,US,15542.11,70000,29
Music,Music,successful,33,US,1647,1450,14
Playing Cards,Games,failed,55,US,942.25,7500,59
Fashion,Fashion,successful,750,US,91003.67,36000,36
Hardware,Technology,failed,12,US,4237,50000,32
Makerspaces,Technology,failed,32,AU,8910.52,99078.34,29
Punk,Music,failed,0,US,0,5000,29
Documentary,Film & Video,failed,37,US,8085,100000,59
Fiction,Publishing,failed,29,GB,2082.74,3959.58,29
Painting,Art,failed,2,US,2,1200,44
Film & Video,Film & Video,undefined,0,undefined,555,6500,44
Hardware,Technology,failed,18,CA,628.47,1916.08,29
Jazz,Music,failed,42,US,4670,32000,29
Music,Music,successful,36,US,923,777,14
Anthologies,Publishing,successful,86,US,9500,7500,44
Narrative Film,Film & Video,failed,26,US,2161,50000,59
Product Design,Design,successful,3784,US,843743,80000,39
Pop,Music,successful,38,US,2036,2000,54
Product Design,Design,failed,0,US,0,9500,59
Shorts,Film & Video,successful,81,US,5120,5000,24
Product Design,Design,failed,10,US,805,10000,29
Documentary,Film & Video,failed,1,GB,17.12,856,29
Tabletop Games,Games,failed,32,US,1825,50000,29
Music,Music,successful,37,US,4629,4000,29
Thrillers,Film & Video,live,4,US,310,5000,44
Product Design,Design,canceled,46,US,1041,30000,29
Children's Books,Publishing,successful,140,GB,8937.95,8592.68,29
Product Design,Design,successful,327,US,26407,5000,25
Software,Technology,successful,3080,GB,75379.02,64074.84,29
Rock,Music,failed,2,US,30,4000,50
Children's Books,Publishing,successful,164,US,20313,19650,29
Shorts,Film & Video,successful,19,US,850,800,31
Illustration,Art,successful,40,US,642,275,13
Video Games,Games,failed,18,US,113,14000,29
Pop,Music,successful,69,US,18009,15000,59
Apps,Technology,successful,24,MX,2739.22,2658.03,31
People,Photography,failed,0,US,0,2500,29
Games,Games,failed,3,US,3.69,2000,29
Audio,Journalism,failed,15,GB,423.72,12554.61,29
Apparel,Fashion,failed,1,GB,19.72,262.92,24
Video Games,Games,successful,107,GB,4848.23,3913.65,21
Design,Design,successful,120,US,39209,35000,29
Photography,Photography,canceled,1,US,75,11000,41
Design,Design,failed,2,US,45,5000,26
Food,Food,failed,0,CA,0,38112.66,52
Apparel,Fashion,successful,140,US,23079,3000,18
Photobooks,Photography,failed,14,US,656,17500,29
Shorts,Film & Video,failed,1,US,5,500,29
Film & Video,Film & Video,failed,0,US,0,5000,23
Comics,Comics,successful,47,SE,986.03,516.03,29
Festivals,Theater,successful,105,US,4813,4000,32
Product Design,Design,successful,85,GB,23576.92,23164.59,35
Apparel,Fashion,successful,44,FR,3944.43,3432.57,29
Product Design,Design,failed,0,US,0,8000,29
