category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
0,40.0,1.0,0.0,0.0,0.0,0.0,500.0,0.0
1,7.0,0.0,1.0,12.0,1.0,185.73,185.73,0.0
2,35.0,4.0,0.0,1.0,0.0,25.0,10000000.0,0.0
3,5.0,3.0,0.0,1.0,1.0,30.97,7743.29,0.0
4,1.0,0.0,0.0,1.0,0.0,100.0,1500.0,1.0
5,88.0,2.0,0.0,0.0,0.0,0.0,100000.0,1.0
6,54.0,0.0,0.0,1.0,1.0,1.54,2312.03,1.0
7,3.0,3.0,1.0,9.0,0.0,1590.0,250.0,1.0
8,30.0,3.0,2.0,11.0,0.0,203.0,500.0,1.0
9,67.0,10.0,0.0,11.0,0.0,170.0,3600.0,1.0
10,6.0,7.0,1.0,143.0,0.0,1335.7,22.0,2.0
11,1.0,0.0,1.0,25.0,0.0,1000.0,900.0,2.0
12,27.0,1.0,5.0,0.0,1.0,0.0,1255.67,2.0
13,49.0,1.0,0.0,1.0,6.0,1.11,2329.53,2.0
14,48.0,6.0,0.0,2.0,0.0,26.0,5000.0,2.0
15,99.0,7.0,5.0,0.0,3.0,0.0,86.75,2.0
16,2.0,1.0,1.0,437.0,0.0,8581.24,3300.0,2.0
17,8.0,2.0,0.0,8.0,0.0,500.0,600.0,3.0
18,32.0,6.0,0.0,1.0,0.0,5.0,5000.0,3.0
19,32.0,6.0,0.0,2.0,0.0,150.0,3000.0,3.0
20,57.0,1.0,0.0,1.0,1.0,36.01,388.9,3.0
21,27.0,1.0,0.0,0.0,0.0,0.0,275.0,3.0
22,68.0,6.0,1.0,1108.0,0.0,7146.0,500.0,3.0
23,21.0,2.0,4.0,15.0,0.0,3254.0,1313.0,3.0
24,34.0,6.0,0.0,0.0,1.0,0.0,165.72,3.0
25,19.0,10.0,0.0,6.0,0.0,311.0,4000.0,4.0
26,0.0,5.0,0.0,1.0,0.0,1.0,300.0,4.0
27,14.0,8.0,0.0,0.0,0.0,0.0,1250.0,4.0
28,9.0,8.0,0.0,1.0,0.0,60.0,325.0,4.0
29,2.0,1.0,3.0,0.0,4.0,211.0,1260.0,4.0
30,9.0,8.0,0.0,1.0,0.0,50.0,1500.0,4.0
31,2.0,1.0,1.0,31.0,0.0,1188.7,500.0,4.0
32,3.0,3.0,2.0,1.0,0.0,1.0,1000.0,4.0
33,3.0,3.0,1.0,415.0,0.0,14334.0,500.0,4.0
34,84.0,2.0,0.0,2.0,0.0,30.0,550.0,4.0
35,3.0,3.0,0.0,14.0,0.0,875.0,1000.0,4.0
36,8.0,2.0,0.0,0.0,0.0,0.0,1100.0,4.0
37,64.0,0.0,0.0,2.0,0.0,200.0,600.0,4.0
38,86.0,14.0,0.0,4.0,3.0,42.53,470.31,4.0
39,140.0,12.0,0.0,2.0,0.0,15.0,600.0,4.0
40,32.0,6.0,1.0,33.0,0.0,2040.0,2000.0,4.0
41,2.0,1.0,0.0,0.0,4.0,1.0,1500.0,4.0
42,12.0,9.0,1.0,18.0,1.0,498.82,497.16,4.0
43,90.0,7.0,1.0,10.0,0.0,635.0,535.0,4.0
44,32.0,6.0,0.0,2.0,0.0,25.0,500.0,4.0
45,25.0,1.0,1.0,48.0,0.0,2845.0,2750.0,4.0
46,65.0,8.0,1.0,2.0,2.0,89.61,80.01,4.0
47,26.0,12.0,0.0,2.0,0.0,22.0,500.0,4.0
48,50.0,14.0,1.0,21.0,0.0,1205.0,1200.0,4.0
49,110.0,6.0,0.0,25.0,0.0,1421.0,4000.0,4.0
50,91.0,10.0,1.0,13.0,0.0,620.0,149.0,4.0
51,29.0,5.0,0.0,1.0,0.0,1.0,1000.0,4.0
52,8.0,2.0,0.0,0.0,0.0,0.0,200.0,4.0
53,0.0,5.0,0.0,0.0,0.0,0.0,2500.0,4.0
54,14.0,8.0,0.0,1.0,0.0,20.0,5000.0,4.0
55,56.0,10.0,1.0,9.0,0.0,385.0,199.0,4.0
56,0.0,5.0,1.0,8.0,0.0,490.0,100.0,4.0
57,3.0,3.0,1.0,464.0,0.0,5603.1,1500.0,5.0
58,11.0,2.0,0.0,24.0,0.0,786.0,1500.0,5.0
59,62.0,2.0,1.0,17.0,1.0,192.95,19.99,5.0
60,24.0,4.0,0.0,3.0,0.0,3.0,118000.0,5.0
61,6.0,7.0,0.0,3.0,0.0,95.0,5900.0,5.0
62,46.0,0.0,1.0,31.0,2.0,2627.98,2596.1,5.0
63,56.0,10.0,1.0,14.0,0.0,815.0,199.0,5.0
64,7.0,0.0,1.0,9.0,0.0,167.0,1.0,5.0
65,24.0,4.0,0.0,0.0,0.0,0.0,250000.0,5.0
66,53.0,6.0,0.0,2.0,0.0,160.0,4500.0,5.0
67,20.0,0.0,1.0,19.0,0.0,530.0,500.0,5.0
68,62.0,2.0,0.0,7.0,0.0,200.0,800.0,5.0
69,8.0,2.0,1.0,27.0,0.0,1320.0,150.0,5.0
70,82.0,9.0,1.0,12.0,0.0,595.0,500.0,5.0
71,91.0,10.0,1.0,10.0,0.0,435.0,199.0,5.0
72,35.0,4.0,0.0,2.0,5.0,27.47,2324.3,5.0
73,32.0,6.0,1.0,11.0,0.0,300.0,300.0,5.0
74,48.0,6.0,1.0,33.0,0.0,774.0,700.0,5.0
75,65.0,8.0,0.0,2.0,0.0,14.0,100.0,5.0
76,10.0,6.0,0.0,2.0,0.0,10.0,20000.0,5.0
77,59.0,13.0,0.0,1.0,0.0,5.0,1500.0,5.0
78,14.0,8.0,2.0,0.0,3.0,0.0,753.24,5.0
79,5.0,3.0,0.0,4.0,0.0,23.0,10000.0,6.0
80,35.0,4.0,0.0,2.0,0.0,101.0,20000.0,6.0
81,78.0,4.0,1.0,10.0,8.0,349.65,338.37,6.0
82,3.0,3.0,0.0,10.0,2.0,427.44,2874.2,6.0
83,49.0,1.0,1.0,53.0,0.0,2475.0,1850.0,6.0
84,9.0,8.0,1.0,33.0,2.0,6835.41,2889.51,6.0
85,31.0,6.0,1.0,17.0,1.0,284.47,187.15,6.0
86,33.0,1.0,1.0,7.0,0.0,180.0,175.0,6.0
87,3.0,3.0,0.0,9.0,9.0,48.9,318.9,6.0
88,1.0,0.0,0.0,18.0,0.0,2585.0,35000.0,6.0
89,25.0,1.0,0.0,4.0,10.0,21.1,42.63,6.0
90,4.0,0.0,1.0,7.0,0.0,531.0,500.0,6.0
91,123.0,1.0,2.0,3.0,0.0,70.0,500.0,6.0
92,17.0,1.0,1.0,1.0,0.0,105.0,105.0,6.0
93,10.0,6.0,0.0,5.0,0.0,197.0,500.0,6.0
